pref_name,year,population
Mie,2020,1770254
Kyoto,2020,2578087
Saga,2020,811442
Hyogo,2020,5465002
Hokkaido,2020,5224614
Chiba,2020,6284480
Wakayama,2020,922584
Saitama,2020,7344765
Oita,2020,1123852
Osaka,2020,8837685
Nara,2020,1324473
Miyagi,2020,2301996
Miyazaki,2020,1069576
Toyama,2020,1034814
Yamaguchi,2020,1342059
Yamagata,2020,1068027
Yamanashi,2020,809974
Gifu,2020,1978742
Okayama,2020,1888432
Iwate,2020,1210534
Shimane,2020,671126
Hiroshima,2020,2799702
Tokushima,2020,719559
Ehime,2020,1334841
Aichi,2020,7542415
Niigata,2020,2201272
Tokyo,2020,14047594
Tochigi,2020,1933146
Okinawa,2020,1467480
Shiga,2020,1413610
Kumamoto,2020,1738301
Ishikawa,2020,1132526
Kanagawa,2020,9237337
Fukui,2020,766863
Fukuoka,2020,5135214
Fukushima,2020,1833152
Akita,2020,959502
Gunma,2020,1939110
Ibaraki,2020,2867009
Nagasaki,2020,1312317
Nagano,2020,2048011
Aomori,2020,1237984
Shizuoka,2020,3633202
Kagawa,2020,950244
Kochi,2020,691527
Tottori,2020,553407
Kagoshima,2020,1588256
